Start time: 2011-11-28 02:27:59, End time: 2011-11-28 10:18:11, Activity: Sleeping
Start time: 2011-11-28 10:21:24, End time: 2011-11-28 10:23:36, Activity: Toileting
Start time: 2011-11-28 10:25:44, End time: 2011-11-28 10:33:00, Activity: Showering
Start time: 2011-11-28 10:34:23, End time: 2011-11-28 10:43:00, Activity: Breakfast
Start time: 2011-11-28 10:49:48, End time: 2011-11-28 10:51:13, Activity: Grooming
Start time: 2011-11-28 10:51:41, End time: 2011-11-28 13:05:07, Activity: Spare_Time/TV
Start time: 2011-11-28 13:06:04, End time: 2011-11-28 13:06:31, Activity: Toileting
Start time: 2011-11-28 13:09:31, End time: 2011-11-28 13:29:09, Activity: Leaving
Start time: 2011-11-28 13:38:40, End time: 2011-11-28 14:21:40, Activity: Spare_Time/TV
Start time: 2011-11-28 14:22:38, End time: 2011-11-28 14:27:07, Activity: Toileting
Start time: 2011-11-28 14:27:11, End time: 2011-11-28 15:04:00, Activity: Lunch
Start time: 2011-11-28 15:04:59, End time: 2011-11-28 15:06:29, Activity: Grooming
Start time: 2011-11-28 15:07:01, End time: 2011-11-28 20:20:00, Activity: Spare_Time/TV
Start time: 2011-11-28 20:20:55, End time: 2011-11-28 20:20:59, Activity: Snack
Start time: 2011-11-28 20:21:15, End time: 2011-11-29 02:06:00, Activity: Spare_Time/TV
Start time: 2011-11-29 02:16:00, End time: 2011-11-29 11:31:00, Activity: Sleeping
Start time: 2011-11-29 11:31:55, End time: 2011-11-29 11:36:55, Activity: Toileting
Start time: 2011-11-29 11:37:38, End time: 2011-11-29 11:48:54, Activity: Grooming
Start time: 2011-11-29 11:49:57, End time: 2011-11-29 11:51:13, Activity: Showering
Start time: 2011-11-29 12:08:28, End time: 2011-11-29 12:18:00, Activity: Breakfast
Start time: 2011-11-29 12:19:01, End time: 2011-11-29 12:22:00, Activity: Grooming
Start time: 2011-11-29 12:22:38, End time: 2011-11-29 12:24:59, Activity: Spare_Time/TV
Start time: 2011-11-29 13:25:29, End time: 2011-11-29 13:25:32, Activity: Snack
Start time: 2011-11-29 13:25:38, End time: 2011-11-29 15:12:26, Activity: Spare_Time/TV
Start time: 2011-11-29 15:13:28, End time: 2011-11-29 15:13:57, Activity: Toileting
Start time: 2011-11-29 15:14:33, End time: 2011-11-29 15:45:54, Activity: Lunch
Start time: 2011-11-29 15:49:51, End time: 2011-11-29 15:50:54, Activity: Grooming
Start time: 2011-11-29 15:52:04, End time: 2011-11-29 16:17:58, Activity: Spare_Time/TV
Start time: 2011-11-29 16:18:00, End time: 2011-11-29 16:31:27, Activity: Toileting
Start time: 2011-11-29 16:34:17, End time: 2011-11-29 17:08:07, Activity: Spare_Time/TV
Start time: 2011-11-29 17:08:58, End time: 2011-11-29 17:09:29, Activity: Toileting
Start time: 2011-11-29 17:43:00, End time: 2011-11-29 18:57:22, Activity: Spare_Time/TV
Start time: 2011-11-29 19:02:15, End time: 2011-11-29 20:23:38, Activity: Leaving
Start time: 2011-11-29 20:28:00, End time: 2011-11-30 01:19:47, Activity: Spare_Time/TV
Start time: 2011-11-30 01:22:33, End time: 2011-11-30 10:07:31, Activity: Sleeping
Start time: 2011-11-30 10:11:07, End time: 2011-11-30 10:13:59, Activity: Toileting
Start time: 2011-11-30 10:14:45, End time: 2011-11-30 10:18:33, Activity: Showering
Start time: 2011-11-30 10:22:59, End time: 2011-11-30 10:35:00, Activity: Breakfast
Start time: 2011-11-30 10:39:30, End time: 2011-11-30 10:41:13, Activity: Grooming
Start time: 2011-11-30 10:41:38, End time: 2011-11-30 13:04:59, Activity: Spare_Time/TV
Start time: 2011-11-30 13:05:27, End time: 2011-11-30 13:05:31, Activity: Snack
Start time: 2011-11-30 13:05:38, End time: 2011-11-30 14:09:34, Activity: Spare_Time/TV
Start time: 2011-11-30 14:11:16, End time: 2011-11-30 14:11:48, Activity: Toileting
Start time: 2011-11-30 14:13:45, End time: 2011-11-30 14:34:09, Activity: Spare_Time/TV
Start time: 2011-11-30 14:39:42, End time: 2011-11-30 15:00:24, Activity: Lunch
Start time: 2011-11-30 15:11:48, End time: 2011-11-30 16:39:11, Activity: Spare_Time/TV
Start time: 2011-11-30 16:40:01, End time: 2011-11-30 16:40:24, Activity: Toileting
Start time: 2011-11-30 16:41:05, End time: 2011-11-30 16:41:09, Activity: Snack
Start time: 2011-11-30 16:41:15, End time: 2011-11-30 18:00:38, Activity: Spare_Time/TV
Start time: 2011-11-30 18:01:44, End time: 2011-11-30 18:01:47, Activity: Toileting
Start time: 2011-11-30 18:01:54, End time: 2011-11-30 18:43:20, Activity: Spare_Time/TV
Start time: 2011-11-30 18:57:08, End time: 2011-11-30 18:57:34, Activity: Toileting
Start time: 2011-11-30 18:57:39, End time: 2011-11-30 19:37:10, Activity: Spare_Time/TV
Start time: 2011-11-30 19:37:36, End time: 2011-11-30 19:38:01, Activity: Toileting
Start time: 2011-11-30 19:46:44, End time: 2011-11-30 20:05:12, Activity: Leaving
Start time: 2011-11-30 20:13:39, End time: 2011-11-30 20:13:48, Activity: Grooming
Start time: 2011-11-30 20:14:03, End time: 2011-12-01 01:34:27, Activity: Spare_Time/TV
Start time: 2011-12-01 01:37:52, End time: 2011-12-01 10:50:45, Activity: Sleeping
Start time: 2011-12-01 10:55:03, End time: 2011-12-01 10:55:32, Activity: Grooming
Start time: 2011-12-01 10:58:37, End time: 2011-12-01 11:12:22, Activity: Showering
Start time: 2011-12-01 11:17:05, End time: 2011-12-01 11:29:49, Activity: Breakfast
Start time: 2011-12-01 11:30:06, End time: 2011-12-01 14:29:02, Activity: Spare_Time/TV
Start time: 2011-12-01 14:29:37, End time: 2011-12-01 14:55:02, Activity: Lunch
Start time: 2011-12-01 15:09:00, End time: 2011-12-01 16:26:17, Activity: Spare_Time/TV
Start time: 2011-12-01 16:26:35, End time: 2011-12-01 16:27:04, Activity: Toileting
Start time: 2011-12-01 16:27:03, End time: 2011-12-01 16:46:40, Activity: Spare_Time/TV
Start time: 2011-12-01 17:17:23, End time: 2011-12-01 17:27:13, Activity: Grooming
Start time: 2011-12-01 17:29:29, End time: 2011-12-01 18:49:51, Activity: Leaving
Start time: 2011-12-01 18:55:03, End time: 2011-12-01 19:10:34, Activity: Spare_Time/TV
Start time: 2011-12-01 19:28:51, End time: 2011-12-01 19:29:59, Activity: Toileting
Start time: 2011-12-01 19:30:01, End time: 2011-12-01 23:52:52, Activity: Spare_Time/TV
Start time: 2011-12-01 23:53:00, End time: 2011-12-01 23:53:28, Activity: Grooming
Start time: 2011-12-01 23:54:32, End time: 2011-12-02 01:18:32, Activity: Spare_Time/TV
Start time: 2011-12-02 01:18:44, End time: 2011-12-02 01:18:57, Activity: Grooming
Start time: 2011-12-02 01:19:09, End time: 2011-12-02 02:08:17, Activity: Spare_Time/TV
Start time: 2011-12-02 02:09:33, End time: 2011-12-02 02:13:56, Activity: Grooming
Start time: 2011-12-02 02:15:55, End time: 2011-12-02 12:15:19, Activity: Sleeping
Start time: 2011-12-02 12:16:00, End time: 2011-12-02 12:20:40, Activity: Toileting
Start time: 2011-12-02 12:20:41, End time: 2011-12-02 13:20:59, Activity: Grooming
Start time: 2011-12-02 12:21:19, End time: 2011-12-02 12:25:40, Activity: Showering
